p1_games,p2_games,p1_score,p2_score,p1_points_won,p2_points_won,p1_break_pt_won,p2_break_pt_won,server_1,server_2,point_victor_1,point_victor_2,momentum,impetus
0,0,0.0,0.0,0,1,0,0,1,0,0,1,0.0,-1
0,0,0.0,15.0,1,1,0,0,1,0,1,0,0.0,0
0,0,15.0,15.0,1,2,0,0,1,0,0,1,0.0,-1
0,0,15.0,30.0,2,2,0,0,1,0,1,0,2.0,0
0,0,30.0,30.0,3,2,0,0,1,0,1,0,3.0,1
0,0,40.0,30.0,3,3,0,0,1,0,0,1,2.0,0
0,0,40.0,40.0,4,3,0,0,1,0,1,0,3.0,1
0,0,50.0,40.0,4,4,0,0,1,0,0,1,2.0,0
0,0,40.0,40.0,5,4,0,0,1,0,1,0,2.0,1
0,0,50.0,40.0,6,4,0,0,1,0,1,0,3.0,2
1,0,0.0,0.0,6,5,0,0,0,1,0,1,2.0,1
1,0,0.0,15.0,7,5,0,0,0,1,1,0,3.0,2
1,0,15.0,15.0,8,5,0,0,0,1,1,0,3.0,3
1,0,30.0,15.0,8,6,0,0,0,1,0,1,2.0,2
1,0,30.0,30.0,8,7,0,0,0,1,0,1,2.0,1
1,0,30.0,40.0,9,7,0,0,0,1,1,0,2.0,2
1,0,40.0,40.0,9,8,0,0,0,1,0,1,1.0,1
1,0,40.0,50.0,9,9,0,0,0,1,0,1,1.0,0
1,1,0.0,0.0,10,9,0,0,1,0,1,0,2.0,1
1,1,15.0,0.0,11,9,0,0,1,0,1,0,2.0,2
1,1,30.0,0.0,11,10,0,0,1,0,0,1,2.0,1
1,1,30.0,15.0,12,10,0,0,1,0,1,0,3.0,2
1,1,40.0,15.0,13,10,0,0,1,0,1,0,3.0,3
2,1,0.0,0.0,13,11,0,0,0,1,0,1,2.0,2
2,1,0.0,15.0,13,12,0,0,0,1,0,1,2.0,1
2,1,0.0,30.0,13,13,0,0,0,1,0,1,1.0,0
2,1,0.0,40.0,13,14,0,0,0,1,0,1,0.0,-1
2,2,0.0,0.0,14,14,0,0,1,0,1,0,1.0,0
2,2,15.0,0.0,15,14,0,0,1,0,1,0,2.0,1
2,2,30.0,0.0,16,14,0,0,1,0,1,0,3.0,2
2,2,40.0,0.0,16,15,0,0,1,0,0,1,3.0,1
2,2,40.0,15.0,16,16,0,0,1,0,0,1,2.0,0
2,2,40.0,30.0,16,17,0,0,1,0,0,1,1.0,-1
2,2,40.0,40.0,17,17,0,0,1,0,1,0,1.0,0
2,2,50.0,40.0,18,17,0,0,1,0,1,0,2.0,1
3,2,0.0,0.0,18,18,0,0,0,1,0,1,2.0,0
3,2,0.0,15.0,19,18,0,0,0,1,1,0,3.0,1
3,2,15.0,15.0,19,19,0,0,0,1,0,1,2.0,0
3,2,15.0,30.0,19,20,0,0,0,1,0,1,1.0,-1
3,2,15.0,40.0,19,21,0,0,0,1,0,1,1.0,-2
3,3,0.0,0.0,20,21,0,0,1,0,1,0,1.0,-1
3,3,15.0,0.0,21,21,0,0,1,0,1,0,2.0,0
3,3,30.0,0.0,22,21,0,0,1,0,1,0,3.0,1
3,3,40.0,0.0,22,22,0,0,1,0,0,1,3.0,0
3,3,40.0,15.0,23,22,0,0,1,0,1,0,3.0,1
4,3,0.0,0.0,23,23,0,0,0,1,0,1,2.0,0
4,3,0.0,15.0,24,23,0,0,0,1,1,0,2.0,1
4,3,15.0,15.0,24,24,0,0,0,1,0,1,2.0,0
4,3,15.0,30.0,25,24,0,0,0,1,1,0,2.0,1
4,3,30.0,30.0,26,24,0,0,0,1,1,0,3.0,2
4,3,40.0,30.0,27,24,1,0,0,1,1,0,3.0,3
5,3,0.0,0.0,28,24,0,0,1,0,1,0,4.0,4
5,3,15.0,0.0,28,25,0,0,1,0,0,1,3.0,3
5,3,15.0,15.0,29,25,0,0,1,0,1,0,3.0,4
5,3,30.0,15.0,29,26,0,0,1,0,0,1,2.0,3
5,3,30.0,30.0,30,26,0,0,1,0,1,0,2.0,4
5,3,40.0,30.0,30,27,0,0,1,0,0,1,2.0,3
5,3,40.0,40.0,31,27,0,0,1,0,1,0,2.0,4
5,3,50.0,40.0,31,28,0,0,1,0,0,1,2.0,3
5,3,40.0,40.0,31,29,0,0,1,0,0,1,1.0,2
5,3,40.0,50.0,32,29,0,0,1,0,1,0,2.0,3
5,3,40.0,40.0,33,29,0,0,1,0,1,0,2.0,4
5,3,50.0,40.0,34,29,0,0,1,0,1,0,3.0,5
0,0,0.0,0.0,34,30,0,0,0,1,0,1,3.0,4
0,0,0.0,15.0,34,31,0,0,0,1,0,1,2.0,3
0,0,0.0,30.0,34,32,0,0,0,1,0,1,1.0,2
0,0,0.0,40.0,34,33,0,0,0,1,0,1,0.0,1
0,1,0.0,0.0,35,33,0,0,1,0,1,0,1.0,2
0,1,15.0,0.0,36,33,0,0,1,0,1,0,2.0,3
0,1,30.0,0.0,36,34,0,0,1,0,0,1,2.0,2
0,1,30.0,15.0,36,35,0,0,1,0,0,1,2.0,1
0,1,30.0,30.0,37,35,0,0,1,0,1,0,2.0,2
0,1,40.0,30.0,37,36,0,0,1,0,0,1,1.0,1
0,1,40.0,40.0,37,37,0,0,1,0,0,1,1.0,0
0,1,40.0,50.0,37,38,0,1,1,0,0,1,1.0,-1
0,2,0.0,0.0,37,39,0,0,0,1,0,1,0.0,-2
0,2,0.0,15.0,37,40,0,0,0,1,0,1,0.0,-3
0,2,0.0,30.0,37,41,0,0,0,1,0,1,0.0,-4
0,2,0.0,40.0,37,42,0,0,0,1,0,1,0.0,-5
0,3,0.0,0.0,37,43,0,0,1,0,0,1,0.0,-6
0,3,0.0,15.0,38,43,0,0,1,0,1,0,1.0,-5
0,3,15.0,15.0,39,43,0,0,1,0,1,0,2.0,-4
0,3,30.0,15.0,39,44,0,0,1,0,0,1,2.0,-5
0,3,30.0,30.0,39,45,0,0,1,0,0,1,2.0,-6
0,3,30.0,40.0,40,45,0,0,1,0,1,0,2.0,-5
0,3,40.0,40.0,41,45,0,0,1,0,1,0,2.0,-4
0,3,50.0,40.0,42,45,0,0,1,0,1,0,3.0,-3
1,3,0.0,0.0,42,46,0,0,0,1,0,1,3.0,-4
1,3,0.0,15.0,42,47,0,0,0,1,0,1,2.0,-5
1,3,0.0,30.0,43,47,0,0,0,1,1,0,2.0,-4
1,3,15.0,30.0,44,47,0,0,0,1,1,0,2.0,-3
1,3,30.0,30.0,45,47,0,0,0,1,1,0,3.0,-2
1,3,40.0,30.0,45,48,0,0,0,1,0,1,3.0,-3
1,3,40.0,40.0,46,48,0,0,0,1,1,0,3.0,-2
1,3,50.0,40.0,46,49,0,0,0,1,0,1,2.0,-3
1,3,40.0,40.0,46,50,0,0,0,1,0,1,1.0,-4
1,3,40.0,50.0,46,51,0,0,0,1,0,1,1.0,-5
1,4,0.0,0.0,46,52,0,0,1,0,0,1,0.0,-6
1,4,0.0,15.0,47,52,0,0,1,0,1,0,1.0,-5
1,4,15.0,15.0,47,53,0,0,1,0,0,1,1.0,-6
1,4,15.0,30.0,48,53,0,0,1,0,1,0,2.0,-5
1,4,30.0,30.0,49,53,0,0,1,0,1,0,3.0,-4
1,4,40.0,30.0,49,54,0,0,1,0,0,1,2.0,-5
1,4,40.0,40.0,50,54,0,0,1,0,1,0,3.0,-4
1,4,50.0,40.0,51,54,0,0,1,0,1,0,3.0,-3
2,4,0.0,0.0,52,54,0,0,0,1,1,0,3.0,-2
2,4,15.0,0.0,52,55,0,0,0,1,0,1,3.0,-3
2,4,15.0,15.0,52,56,0,0,0,1,0,1,2.0,-4
2,4,15.0,30.0,52,57,0,0,0,1,0,1,1.0,-5
2,4,15.0,40.0,53,57,0,0,0,1,1,0,1.0,-4
2,4,30.0,40.0,54,57,0,0,0,1,1,0,2.0,-3
2,4,40.0,40.0,55,57,0,0,0,1,1,0,3.0,-2
2,4,50.0,40.0,55,58,0,0,0,1,0,1,3.0,-3
2,4,40.0,40.0,55,59,0,0,0,1,0,1,2.0,-4
2,4,40.0,50.0,56,59,0,0,0,1,1,0,2.0,-3
2,4,40.0,40.0,57,59,0,0,0,1,1,0,2.0,-2
2,4,50.0,40.0,58,59,1,0,0,1,1,0,3.0,-1
3,4,0.0,0.0,59,59,0,0,1,0,1,0,4.0,0
3,4,15.0,0.0,60,59,0,0,1,0,1,0,4.0,1
3,4,30.0,0.0,61,59,0,0,1,0,1,0,4.0,2
3,4,40.0,0.0,62,59,0,0,1,0,1,0,4.0,3
4,4,0.0,0.0,63,59,0,0,0,1,1,0,4.0,4
4,4,15.0,0.0,63,60,0,0,0,1,0,1,3.0,3
4,4,15.0,15.0,63,61,0,0,0,1,0,1,2.0,2
4,4,15.0,30.0,63,62,0,0,0,1,0,1,1.0,1
4,4,15.0,40.0,63,63,0,0,0,1,0,1,0.0,0
4,5,0.0,0.0,64,63,0,0,1,0,1,0,1.0,1
4,5,15.0,0.0,64,64,0,0,1,0,0,1,1.0,0
4,5,15.0,15.0,65,64,0,0,1,0,1,0,2.0,1
4,5,30.0,15.0,66,64,0,0,1,0,1,0,3.0,2
